,Kappa,model
0,0.9794454868306877,DT100_D4
1,0.9795117044006705,DT100_D4
2,0.9794364927893386,DT100_D4
3,0.9796188609472618,DT100_D4
4,0.9793963294691941,DT100_D4
5,0.9867664263734808,DT100_D12
6,0.9864071339218422,DT100_D12
7,0.9868004016859026,DT100_D12
8,0.9869762260706272,DT100_D12
9,0.986712111804439,DT100_D12
0,0.0,MLP100_L6
1,5.497349695682274e-06,MLP100_L6
2,0.0,MLP100_L6
3,0.0,MLP100_L6
4,1.1448391464718988e-05,MLP100_L6
5,0.9242490020858737,MLP100_L16
6,0.9691601143348568,MLP100_L16
7,0.9312783303983804,MLP100_L16
8,0.965880011354826,MLP100_L16
9,0.9159949349752925,MLP100_L16
10,1.9075758065367765e-05,MLP100_L26
11,0.9702113504789562,MLP100_L26
12,0.9348239633065156,MLP100_L26
13,0.9265393014909501,MLP100_L26
14,0.9744383295068411,MLP100_L26
15,0.9733464724985537,MLP100_L36
16,0.8671233471335309,MLP100_L36
17,0.9612963758685028,MLP100_L36
18,0.9454200853371073,MLP100_L36
19,0.9439065267012778,MLP100_L36
20,0.9759004808657786,MLP100_L46
21,0.9573000725195443,MLP100_L46
22,0.9727677603507315,MLP100_L46
23,0.9722846178609851,MLP100_L46
24,0.9718719790216898,MLP100_L46
25,0.9676966851405553,MLP100_L56
26,0.9301452713565422,MLP100_L56
27,0.9773397983879873,MLP100_L56
28,0.9744424258468259,MLP100_L56
29,0.9285108095834016,MLP100_L56
0,0.00029739181218302324,NB100_S1e-09
1,0.0003267192982413514,NB100_S1e-09
2,0.00032002006694797913,NB100_S1e-09
3,0.00031631041904911505,NB100_S1e-09
4,0.00028749786348203354,NB100_S1e-09
5,0.00029293233174843003,NB100_S1e-08
6,0.0003199531475708284,NB100_S1e-08
7,0.000315357162046892,NB100_S1e-08
8,0.00031275812076636544,NB100_S1e-08
9,0.0002809905367631149,NB100_S1e-08
10,0.0002816116182386974,NB100_S1e-07
11,0.00031704014368216793,NB100_S1e-07
12,0.00030958565835992324,NB100_S1e-07
13,0.0002952970900282903,NB100_S1e-07
14,0.0002724529626249028,NB100_S1e-07
15,0.0002678003936271711,NB100_S1e-06
16,0.0002973604444699296,NB100_S1e-06
17,0.0002969615157453198,NB100_S1e-06
18,0.00026494087135142674,NB100_S1e-06
19,0.00026368031524803826,NB100_S1e-06
20,0.00023906572700616024,NB100_S1e-05
21,0.0002622199832037486,NB100_S1e-05
22,0.0002720723003794001,NB100_S1e-05
23,0.00023786484692867038,NB100_S1e-05
24,0.00022513604835394663,NB100_S1e-05
25,0.00022253578286490772,NB100_S0.0001
26,0.00023553299293210817,NB100_S0.0001
27,0.00025554591741028254,NB100_S0.0001
28,0.00022856433942641807,NB100_S0.0001
29,0.00020605800108264294,NB100_S0.0001
15,0.9775559575441847,ET100_E2D16
16,0.9777562639282144,ET100_E2D16
17,0.9781236113578012,ET100_E2D16
18,0.980108466825877,ET100_E2D16
19,0.9779325536363557,ET100_E2D16
5,0.9527015296821091,ET100_E4D8
6,0.9654303528646708,ET100_E4D8
7,0.9534475493693494,ET100_E4D8
8,0.9512259552454438,ET100_E4D8
9,0.9544763444722997,ET100_E4D8
10,0.9685062722910138,ET100_E6D8
11,0.9728083365392539,ET100_E6D8
12,0.9726117669515145,ET100_E6D8
13,0.9724398447380769,ET100_E6D8
14,0.9600663073349751,ET100_E6D8
0,0.9814900410248673,RF100_E2D8
1,0.9800686251707462,RF100_E2D8
2,0.9820552642631606,RF100_E2D8
3,0.9814413468618527,RF100_E2D8
4,0.9818435324841353,RF100_E2D8
5,0.9815763533657204,RF100_E4D8
6,0.9827427959721728,RF100_E4D8
7,0.982759870256399,RF100_E4D8
8,0.9806748962351728,RF100_E4D8
9,0.9829705143574633,RF100_E4D8
10,0.9816251370467359,RF100_E6D8
11,0.9829882592288229,RF100_E6D8
12,0.9825832709418603,RF100_E6D8
13,0.9805832899905064,RF100_E6D8
14,0.9825288465626989,RF100_E6D8
