,Kappa,model
0,0.7099347891555969,DT40_D4
1,0.7105911244275824,DT40_D4
2,0.7106670587174807,DT40_D4
3,0.7111613887808534,DT40_D4
4,0.7108030546183179,DT40_D4
0,0.8002361726824709,MLP40_L6
1,0.793506976256916,MLP40_L6
2,0.7896591271354609,MLP40_L6
3,0.7911943228322262,MLP40_L6
4,0.795532609799315,MLP40_L6
5,0.8413794723512341,MLP40_L16
6,0.8293780232802517,MLP40_L16
7,0.8369323901814241,MLP40_L16
8,0.8392448389806767,MLP40_L16
9,0.8446964446207218,MLP40_L16
10,0.8426602709415736,MLP40_L26
11,0.8501440737165703,MLP40_L26
12,0.8485606585635976,MLP40_L26
13,0.8423452873743147,MLP40_L26
14,0.8521725557780623,MLP40_L26
15,0.8439436147208466,MLP40_L36
16,0.855544654469638,MLP40_L36
17,0.8528717549588065,MLP40_L36
18,0.8634116584911955,MLP40_L36
19,0.8504628638742545,MLP40_L36
20,0.8575861101025607,MLP40_L46
21,0.8597499389637075,MLP40_L46
22,0.8656177951729728,MLP40_L46
23,0.8622574129842622,MLP40_L46
24,0.8564216809584637,MLP40_L46
25,0.8662114599082973,MLP40_L56
26,0.8640388990758725,MLP40_L56
27,0.8682246402748793,MLP40_L56
28,0.8665257615964642,MLP40_L56
29,0.8681736508874418,MLP40_L56
0,0.22040985458106488,NB40_S1e-09
1,0.22404659431722318,NB40_S1e-09
2,0.22142799380402312,NB40_S1e-09
3,0.2222161508228102,NB40_S1e-09
4,0.22501533779500138,NB40_S1e-09
5,0.22763996576966083,NB40_S1e-08
6,0.242154063403889,NB40_S1e-08
7,0.23759682330506948,NB40_S1e-08
8,0.23931010995134627,NB40_S1e-08
9,0.23138744543006717,NB40_S1e-08
10,0.25351223299230463,NB40_S1e-07
11,0.26094300521569114,NB40_S1e-07
12,0.25604912398289814,NB40_S1e-07
13,0.25410216935256524,NB40_S1e-07
14,0.2542823603797728,NB40_S1e-07
15,0.26532520221457445,NB40_S1e-06
16,0.2805032481078381,NB40_S1e-06
17,0.2806595232173571,NB40_S1e-06
18,0.2732751527814665,NB40_S1e-06
19,0.2730386529590474,NB40_S1e-06
20,0.28170489119099573,NB40_S1e-05
21,0.2862372514112681,NB40_S1e-05
22,0.2811282003493508,NB40_S1e-05
23,0.2822007504819356,NB40_S1e-05
24,0.28235574573131594,NB40_S1e-05
25,0.3096842764076325,NB40_S0.0001
26,0.30884313595249124,NB40_S0.0001
27,0.30866262172800185,NB40_S0.0001
28,0.30848064025987676,NB40_S0.0001
29,0.3099303248217502,NB40_S0.0001
0,0.35080485968225883,ET40_E2D8
1,0.46011432304599975,ET40_E2D8
2,0.466618985216402,ET40_E2D8
3,0.42930874598618307,ET40_E2D8
4,0.3516758014406911,ET40_E2D8
15,0.7692785700229304,ET40_E2D16
16,0.7253098906150037,ET40_E2D16
17,0.8097271477173253,ET40_E2D16
18,0.7410906123468991,ET40_E2D16
19,0.7295105601434906,ET40_E2D16
5,0.38375985939510104,ET40_E4D8
6,0.505627083291728,ET40_E4D8
7,0.4695921808813963,ET40_E4D8
8,0.452415905240543,ET40_E4D8
9,0.37128789585191724,ET40_E4D8
10,0.460231370231869,ET40_E6D8
11,0.46634389365258244,ET40_E6D8
12,0.5325484567005595,ET40_E6D8
13,0.4934283637070189,ET40_E6D8
14,0.4434425204562533,ET40_E6D8
0,0.7985863258300461,RF40_E2D8
1,0.8189813212595675,RF40_E2D8
2,0.8209297082172844,RF40_E2D8
3,0.8121094385679349,RF40_E2D8
4,0.813315900565671,RF40_E2D8
5,0.8100678736420077,RF40_E4D8
6,0.8271398828189809,RF40_E4D8
7,0.8267881803028576,RF40_E4D8
8,0.8245524412993336,RF40_E4D8
9,0.810085189794916,RF40_E4D8
10,0.8136088406944273,RF40_E6D8
11,0.830927036402961,RF40_E6D8
12,0.8344438839650494,RF40_E6D8
13,0.8265306531036138,RF40_E6D8
14,0.8150026734631457,RF40_E6D8
