Kappa,model
0.9712571318575027,D4
0.9714086095412108,D4
0.9712744687408567,D4
0.9713131344351585,D4
0.9712891398090917,D4
0.975044267758376,D12
0.9751714914794682,D12
0.9749830453655728,D12
0.9751266983443957,D12
0.9751874075872408,D12
0.9781980617050141,D20
0.9785236115304002,D20
0.9781224996470614,D20
0.9782348381425786,D20
0.9783590249602074,D20
0.9820008578915709,D28
0.982088887907402,D28
0.9815804372690075,D28
0.9821484727742752,D28
0.9819078320648751,D28
0.9838571002601681,D36
0.9838831827470731,D36
0.983311023055605,D36
0.9835967191058029,D36
0.9836608748795269,D36
0.9844306053188344,D42
0.9845815865900872,D42
0.9839979523043013,D42
0.9841972023817949,D42
0.9843071372521286,D42
