Kappa,model
0.9794454868306877,D4
0.9795117044006705,D4
0.9794364927893386,D4
0.9796188609472618,D4
0.9793963294691941,D4
0.9867664263734808,D12
0.9864071339218422,D12
0.9868004016859026,D12
0.9869762260706272,D12
0.986712111804439,D12
0.9914474120147327,D20
0.9918730476727915,D20
0.9916872324404451,D20
0.9918006556881878,D20
0.9916046788767502,D20
0.9965641431608847,D28
0.9967157998000078,D28
0.9966110877152914,D28
0.9965066364665375,D28
0.9964632641038682,D28
0.9986419595213238,D36
0.9986352328411984,D36
0.9989333954980474,D36
0.9986331003226936,D36
0.9986318220931657,D36
0.9991784282361446,D42
0.9992157214032958,D42
0.9992806679334829,D42
0.9991748343948953,D42
0.9992034920145597,D42
