Kappa,model
0.972594657750404,L6
0.9715507430932218,L6
0.9714448923438139,L6
0.9716030198923699,L6
0.9711722448856374,L6
0.9728780778284902,L16
0.9729166375174526,L16
0.9728068177931157,L16
0.9728512943249534,L16
0.972977095683539,L16
0.9718350041243793,L26
0.9731191290448685,L26
0.9728551229086704,L26
0.9729062164595965,L26
0.9729925399047079,L26
0.9730140940733069,L36
0.9731010015755491,L36
0.9728760652098364,L36
0.9729621862219261,L36
0.9728779790552251,L36
0.9728940578871187,L46
0.97300796776424,L46
0.9729068918018859,L46
0.9719801274851171,L46
0.9730180320556802,L46
0.9729832049162711,L56
0.9731050889424608,L56
0.9728470630612785,L56
0.9730603552901553,L56
0.973051162062205,L56
