Kappa,model
0.0,L6
5.497349695682274e-06,L6
0.0,L6
0.0,L6
1.1448391464718988e-05,L6
0.9242490020858737,L16
0.9691601143348568,L16
0.9312783303983804,L16
0.965880011354826,L16
0.9159949349752925,L16
1.9075758065367765e-05,L26
0.9702113504789562,L26
0.9348239633065156,L26
0.9265393014909501,L26
0.9744383295068411,L26
0.9733464724985537,L36
0.8671233471335309,L36
0.9612963758685028,L36
0.9454200853371073,L36
0.9439065267012778,L36
0.9759004808657786,L46
0.9573000725195443,L46
0.9727677603507315,L46
0.9722846178609851,L46
0.9718719790216898,L46
0.9676966851405553,L56
0.9301452713565422,L56
0.9773397983879873,L56
0.9744424258468259,L56
0.9285108095834016,L56
