Kappa,model
0.00029739181218302324,S1e-09
0.0003267192982413514,S1e-09
0.00032002006694797913,S1e-09
0.00031631041904911505,S1e-09
0.00028749786348203354,S1e-09
0.00029293233174843003,S1e-08
0.0003199531475708284,S1e-08
0.000315357162046892,S1e-08
0.00031275812076636544,S1e-08
0.0002809905367631149,S1e-08
0.0002816116182386974,S1e-07
0.00031704014368216793,S1e-07
0.00030958565835992324,S1e-07
0.0002952970900282903,S1e-07
0.0002724529626249028,S1e-07
0.0002678003936271711,S1e-06
0.0002973604444699296,S1e-06
0.0002969615157453198,S1e-06
0.00026494087135142674,S1e-06
0.00026368031524803826,S1e-06
0.00023906572700616024,S1e-05
0.0002622199832037486,S1e-05
0.0002720723003794001,S1e-05
0.00023786484692867038,S1e-05
0.00022513604835394663,S1e-05
0.00022253578286490772,S0.0001
0.00023553299293210817,S0.0001
0.00025554591741028254,S0.0001
0.00022856433942641807,S0.0001
0.00020605800108264294,S0.0001
