Kappa,model
0.7409365881659209,D4
0.7396939231635091,D4
0.7405941983583808,D4
0.7420388795213664,D4
0.7411717812366432,D4
0.9489815527345267,D12
0.9488661034265968,D12
0.9485552833960579,D12
0.948754993102184,D12
0.9487592809658677,D12
0.9633659456177348,D20
0.9637511270011958,D20
0.9633583002828742,D20
0.9634094093492778,D20
0.9634579878995666,D20
0.9658898705757456,D28
0.9663058658281868,D28
0.9660261738883859,D28
0.9663378399775076,D28
0.9662821844705025,D28
0.9660759339451028,D36
0.9665134458522359,D36
0.9662115281504939,D36
0.9662542641514879,D36
0.9662266601867814,D36
0.9660880375165805,D42
0.9664972920934489,D42
0.9660949030510213,D42
0.9662419575437126,D42
0.9662153228362831,D42
