Kappa,model
0.7476334380793681,D4
0.7467091788836464,D4
0.7477355527643977,D4
0.7490177191467291,D4
0.7486575825877919,D4
0.9595823784552545,D12
0.959419530151005,D12
0.9590076061540624,D12
0.9597006638354656,D12
0.9593961324724303,D12
0.9720106243202207,D20
0.9720454178121347,D20
0.9718449550167396,D20
0.9720728038391878,D20
0.971827182310714,D20
0.9732137703068641,D28
0.9733090751947219,D28
0.9731535906149706,D28
0.973280965864728,D28
0.9731788667362525,D28
0.9715476887514367,D36
0.9719099600866887,D36
0.971727171709228,D36
0.9716193460841516,D36
0.9714961481701754,D36
0.9702652490463423,D42
0.9707762284094987,D42
0.9704944171850018,D42
0.9703438413808521,D42
0.9702160626379308,D42
