Kappa,model
0.8829530647628024,L6
0.8846111643553771,L6
0.8989146504620664,L6
0.8897570333949174,L6
0.8936041038999122,L6
0.9147123538092952,L16
0.9262132289187665,L16
0.9188267735637833,L16
0.9188349808317926,L16
0.9182231972329731,L16
0.9255052475677908,L26
0.9292000835567735,L26
0.9244524089458513,L26
0.9256035601124655,L26
0.9261405325604906,L26
0.9294773652806416,L36
0.9349927429171365,L36
0.9262673847598241,L36
0.9286709039341476,L36
0.9288444329366984,L36
0.9333469190472903,L46
0.9355162659792982,L46
0.9324497096706627,L46
0.934565988416164,L46
0.9329098852707173,L46
0.9349052808622031,L56
0.9345698646282998,L56
0.935052856336104,L56
0.9357650965823842,L56
0.9359838431412674,L56
