Kappa,model
0.0006565447054854845,L6
0.00017933076993026376,L6
-2.0086055031232064e-05,L6
0.00047931768157183363,L6
0.000299357596643568,L6
0.00993896973389441,L16
0.18257770829623443,L16
0.0042769335288647126,L16
0.004154631390299368,L16
0.3580042829114476,L16
0.5597770226926435,L26
0.5722187056446305,L26
0.6026495013383031,L26
0.4707173832654664,L26
0.6188397182194525,L26
0.007127960704003455,L36
0.6402999237759257,L36
0.6333928770696733,L36
0.5107442971723974,L36
0.5991327787443606,L36
0.5528788401893225,L46
0.7271629328848253,L46
0.6992877301554512,L46
0.534307397089856,L46
0.6958877308468436,L46
0.6772514411144377,L56
0.7147181269156537,L56
0.7677498941199136,L56
0.7325298758728286,L56
0.6823336832844186,L56
