Kappa,model
0.22040985458106488,S1e-09
0.22404659431722318,S1e-09
0.22142799380402312,S1e-09
0.2222161508228102,S1e-09
0.22501533779500138,S1e-09
0.22763996576966083,S1e-08
0.242154063403889,S1e-08
0.23759682330506948,S1e-08
0.23931010995134627,S1e-08
0.23138744543006717,S1e-08
0.25351223299230463,S1e-07
0.26094300521569114,S1e-07
0.25604912398289814,S1e-07
0.25410216935256524,S1e-07
0.2542823603797728,S1e-07
0.26532520221457445,S1e-06
0.2805032481078381,S1e-06
0.2806595232173571,S1e-06
0.2732751527814665,S1e-06
0.2730386529590474,S1e-06
0.28170489119099573,S1e-05
0.2862372514112681,S1e-05
0.2811282003493508,S1e-05
0.2822007504819356,S1e-05
0.28235574573131594,S1e-05
0.3096842764076325,S0.0001
0.30884313595249124,S0.0001
0.30866262172800185,S0.0001
0.30848064025987676,S0.0001
0.3099303248217502,S0.0001
