Kappa,model
3.408067793597702e-05,S1e-09
4.320351602671302e-05,S1e-09
2.8997671422059668e-05,S1e-09
2.2997635592436616e-05,S1e-09
3.7925799441618224e-05,S1e-09
2.7518243553625865e-05,S1e-08
3.445882693919877e-05,S1e-08
2.790741278713149e-05,S1e-08
1.8795629253554047e-05,S1e-08
3.3541012169346907e-05,S1e-08
2.5330768453346586e-05,S1e-07
3.227265846017513e-05,S1e-07
2.4636639170516617e-05,S1e-07
1.4420798369552124e-05,S1e-07
3.025242566356834e-05,S1e-07
2.423703147091949e-05,S1e-06
3.0259983474500984e-05,S1e-06
2.280593889414373e-05,S1e-06
1.2406217321903057e-05,S1e-06
2.949928399054169e-05,S1e-06
2.3143294867078446e-05,S1e-05
2.9166900722077393e-05,S1e-05
2.171568286768455e-05,S1e-05
1.2579049388228292e-05,S1e-05
2.949928399054169e-05,S1e-05
2.3143294867078446e-05,S0.0001
2.9166900722077393e-05,S0.0001
2.062542722258698e-05,S0.0001
1.2579049388228292e-05,S0.0001
2.840308993412588e-05,S0.0001
